polled_at_utc,state,site_id,time_stamp,reported_available,capacity,trend,open,trust_data,low_threshold
2026-07-15T00:09:49Z,IL,IL00072IW015200014,2026-07-15T00:09:49Z,Unknown,17,Unknown,True,False,
2026-07-15T00:09:49Z,IL,IL00039IN008500036,2026-07-15T00:09:49Z,Unknown,42,Unknown,True,False,
2026-07-15T00:09:49Z,IL,IL00057IS033300046,2026-07-15T00:09:49Z,Unknown,0,Unknown,True,False,
2026-07-15T00:09:49Z,IL,IL00057IS007900047,2026-07-15T00:09:49Z,Unknown,0,Unknown,True,False,
2026-07-15T00:09:49Z,IL,IL00070IE008600051,2026-07-15T00:09:49Z,0,0,Unknown,False,False,
2026-07-15T00:09:49Z,IL,IL00055IS002700019,2026-07-15T00:09:49Z,Unknown,0,Unknown,True,False,
2026-07-15T00:09:49Z,IL,IL00064IE002500038,2026-07-15T00:09:49Z,Unknown,0,Unknown,True,False,
2026-07-15T00:09:49Z,IL,IL00055IN019400031,2026-07-15T00:09:49Z,Unknown,36,Unknown,True,False,
2026-07-15T00:09:49Z,IL,IL00080IW005100013,2026-07-15T00:09:49Z,Unknown,47,Unknown,True,False,
2026-07-15T00:09:49Z,IL,IL00074IW002800020,2026-07-15T00:09:49Z,Unknown,15,Unknown,True,False,
2026-07-15T00:09:49Z,IL,IL00055IN014900028,2026-07-15T00:09:49Z,Unknown,0,Unknown,True,False,
2026-07-15T00:09:49Z,IL,IL00039IS008500026,2026-07-15T00:09:49Z,Unknown,42,Unknown,True,False,
2026-07-15T00:09:49Z,IL,IL00072IE015200041,2026-07-15T00:08:16Z,11,16,STEADY,True,True,
2026-07-15T00:09:49Z,IL,IL00064IW008500012,2026-07-15T00:09:49Z,Unknown,0,Unknown,True,False,
2026-07-15T00:09:49Z,IL,IL00064IW002500011,2026-07-15T00:09:49Z,Unknown,0,Unknown,True,False,
2026-07-15T00:09:49Z,IL,IL00055IN006400027,2026-07-15T00:09:50Z,Unknown,0,Unknown,True,False,
