2026-09-07T00:08:24Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T00:23:24Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T00:38:24Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T00:53:24Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T01:08:24Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T01:23:24Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T01:38:24Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T01:53:24Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T02:08:24Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T02:23:24Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T02:38:24Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T02:53:24Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:08:24Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:23:24Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:38:24Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:38:28Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:38:32Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:38:36Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:38:40Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:38:44Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:38:48Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:38:52Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:38:55Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:38:59Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:39:03Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:39:07Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:39:11Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:39:15Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:39:18Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:39:22Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:39:26Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:39:30Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:39:33Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:39:37Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:39:41Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:39:44Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:39:48Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:39:52Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:39:56Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:39:59Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:40:03Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:40:07Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:40:11Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:40:15Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:40:19Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:40:23Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:40:26Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:40:30Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:40:34Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:40:37Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:40:41Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:40:45Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:40:49Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:40:52Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:40:56Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:40:59Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:41:03Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:41:07Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:41:10Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:41:14Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:41:18Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:41:23Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:41:27Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:41:31Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:41:35Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:41:39Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:41:43Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:41:47Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:41:51Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:41:55Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:41:59Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:42:03Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:42:07Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:42:11Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:42:14Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:42:18Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:42:22Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:42:26Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
2026-09-07T03:42:30Z rows=95 weather_rows=94 weather=(94 points, 95 sites) errors=none
