polled_at_utc,state,site_id,time_stamp,reported_available,capacity,trend,open,trust_data,low_threshold
2026-09-23T00:13:50Z,IL,IL00074IE011400005,2026-09-23T00:13:02Z,12,25,CLEARING,True,True,
2026-09-23T00:13:50Z,IL,IL00074IW006200004,2026-09-23T00:13:03Z,0,12,FILLING,True,True,
2026-09-23T00:13:50Z,IL,IL00072IE015200041,2026-09-23T00:09:55Z,9,16,FILLING,True,True,
2026-09-23T00:13:50Z,IL,IL00057IS011400023,2026-09-23T00:13:38Z,Unknown,0,Unknown,True,False,
2026-09-23T00:13:50Z,IL,IL00055IS006400017,2026-09-23T00:13:38Z,Unknown,0,Unknown,True,False,
2026-09-23T00:13:50Z,IL,IL00024IW003700010,2026-09-23T00:13:38Z,Unknown,0,Unknown,True,False,
2026-09-23T00:13:50Z,IL,IL00039IS008500026,2026-09-23T00:13:38Z,Unknown,42,Unknown,True,False,
2026-09-23T00:13:50Z,IL,IL00064IW013000053,2026-09-23T00:13:38Z,0,0,Unknown,False,False,
2026-09-23T00:13:50Z,IL,IL00064IW002500011,2026-09-23T00:13:38Z,Unknown,0,Unknown,True,False,
2026-09-23T00:13:50Z,IL,IL00072IW015200014,2026-09-23T00:13:38Z,Unknown,17,Unknown,True,False,
2026-09-23T00:13:50Z,IL,IL00057IS022200054,2026-09-23T00:13:38Z,Unknown,0,Unknown,True,False,
2026-09-23T00:13:50Z,IL,IL00057IS007900047,2026-09-23T00:13:38Z,Unknown,0,Unknown,True,False,
2026-09-23T00:13:50Z,IL,IL00074IW020800052,2026-09-23T00:13:38Z,Unknown,0,Unknown,True,False,
2026-09-23T00:13:50Z,IL,IL00039IN008500036,2026-09-23T00:13:38Z,Unknown,42,Unknown,True,False,
2026-09-23T00:13:50Z,IL,IL00064IE008500039,2026-09-23T00:13:38Z,Unknown,0,Unknown,True,False,
2026-09-23T00:13:50Z,IL,IL00080IW011700016,2026-09-23T00:13:39Z,Unknown,39,Unknown,True,False,
2026-09-23T00:13:50Z,IL,IL00055IS019400021,2026-09-23T00:13:39Z,Unknown,29,Unknown,True,False,
2026-09-23T00:13:50Z,IL,IL00080IE005100040,2026-09-23T00:13:39Z,Unknown,39,Unknown,True,False,
2026-09-23T00:13:50Z,IL,IL00057IN033300049,2026-09-23T00:13:39Z,Unknown,0,Unknown,True,False,
